356680.90625,0
224192.484375,0
356520.0,0
221781.46875,0
356284.375,0
221484.296875,0
24493.2265625,30
957723.25,30
26961.53515625,30
924912.5,30
26303.3828125,30
1063914.75,30
15894.8740234375,60
762217.625,60
26841.943359375,60
790205.375,60
12958.5556640625,60
730990.3125,60
29663.943359375,90
633185.4375,90
9140.390625,90
706215.0625,90
18153.84375,90
830992.5,90
37864.734375,120
843799.3125,120
10146.2939453125,120
719224.125,120
15240.33984375,120
705871.0,120
15907.6181640625,150
601650.5625,150
11387.45703125,150
641050.25,150
7060.40234375,150
655360.0,150
19308.7578125,180
718432.375,180
7582.78759765625,180
728960.9375,180
12067.71875,180
814963.4375,180
24171.896484375,210
680019.3125,210
11202.3525390625,210
767290.125,210
7288.96826171875,210
825328.75,210
9113.1884765625,240
709395.625,240
15718.205078125,240
617746.9375,240
9157.611328125,240
729499.125,240
